physical_lines	disposition	exclusion_category	path
367	included	-	tokio-util/src/sync/cancellation_token/tree_node.rs
363	included	-	tokio-stream/src/stream_ext/collect.rs
362	included	-	tokio/src/runtime/park.rs
360	included	-	tokio-util/src/io/simplex.rs
357	included	-	tokio/src/fs/read_dir.rs
357	included	-	tokio/src/io/util/async_buf_read_ext.rs
356	included	-	tokio-util/src/codec/mod.rs
356	included	-	tokio-util/tests/io_simplex.rs
349	included	-	tokio-util/tests/mpsc.rs
346	included	-	tokio-util/src/io/stream_reader.rs
346	included	-	tokio/src/runtime/io/driver.rs
345	included	-	tokio/src/io/interest.rs
344	included	-	tokio/src/io/read_buf.rs
344	included	-	tokio/tests/sync_rwlock.rs
341	included	-	tokio/src/runtime/dump.rs
339	included	-	tokio-util/tests/framed_read.rs
339	included	-	tokio/src/io/blocking.rs
339	included	-	tokio/tests/io_poll_aio.rs
338	included	-	tokio/src/runtime/metrics/batch.rs
335	included	-	tokio/src/task/mod.rs
334	included	-	tokio/src/process/unix/orphan.rs
333	included	-	tokio/src/net/addr.rs
333	included	-	tokio/tests/time_pause.rs
332	included	-	tokio/src/runtime/time/wheel/mod.rs
331	included	-	benches/sync_mpsc.rs
331	included	-	tokio/src/net/unix/split.rs
330	included	-	tokio/src/sync/tests/loom_notify.rs
329	included	-	tokio/src/runtime/io/driver/uring.rs
326	included	-	tokio/tests/task_abort.rs
325	included	-	tokio-test/src/task.rs
325	included	-	tokio-util/src/sync/mpsc.rs
324	included	-	tokio/src/fs/mod.rs
324	included	-	tokio/src/runtime/scheduler/mod.rs
322	included	-	tokio/src/io/ready.rs
319	included	-	tokio/src/io/poll_evented.rs
317	included	-	tokio-util/src/time/wheel/mod.rs
316	included	-	tokio/src/runtime/scheduler/multi_thread/park.rs
315	included	-	tokio/tests/sync_notify.rs
312	included	-	tokio-util/src/codec/framed_impl.rs
312	included	-	tokio/src/process/unix/pidfd_reaper.rs
311	included	-	tokio/src/io/util/buf_reader.rs
310	included	-	tokio/src/io/util/buf_writer.rs
310	included	-	tokio/src/sync/tests/semaphore_batch.rs
310	included	-	tokio/tests/task_blocking.rs
308	included	-	tokio/src/io/mod.rs
304	included	-	tokio/tests/sync_notify_owned.rs
303	included	-	tokio/src/io/util/copy.rs
303	included	-	tokio/tests/fs_uring_statx.rs
300	included	-	examples/tinyhttp.rs
300	included	-	tokio/tests/task_id.rs
298	included	-	tokio/src/process/unix/reap.rs
297	included	-	tokio-stream/tests/stream_collect.rs
295	included	-	tokio-test/src/macros.rs
289	included	-	tokio/tests/fs_file.rs
285	included	-	tokio/src/process/windows.rs
282	included	-	tokio/tests/tracing_sync.rs
281	included	-	tokio/src/runtime/time_alt/entry.rs
280	included	-	tokio/src/macros/try_join.rs
279	included	-	tokio/src/macros/join.rs
279	included	-	tokio/tests/task_trace_self.rs
277	included	-	tokio/src/sync/tests/loom_mpsc.rs
276	included	-	benches/rt_multi_threaded.rs
276	included	-	tokio/src/runtime/time_alt/wheel/mod.rs
275	included	-	tokio/src/signal/registry.rs
273	included	-	tokio/src/net/unix/socket.rs
273	included	-	tokio/src/runtime/tests/queue.rs
269	included	-	tokio/src/runtime/time/tests/mod.rs
269	included	-	tokio/src/runtime/time_alt/tests.rs
269	included	-	tokio/tests/macros_try_join.rs
268	included	-	tokio-util/tests/future.rs
263	included	-	tokio/src/net/unix/listener.rs
261	included	-	tokio-util/src/codec/any_delimiter_codec.rs
259	included	-	tokio/src/runtime/io/registration.rs
259	included	-	tokio/tests/fs_uring_rename.rs
257	included	-	tokio/src/signal/windows/sys.rs
256	included	-	examples/chat.rs
256	included	-	tokio/tests/macros_join.rs
255	included	-	tokio-util/src/udp/frame.rs
250	included	-	benches/copy.rs
250	included	-	tokio/tests/sync_once_cell.rs
250	included	-	tokio/tests/tcp_connect.rs
249	included	-	tokio/src/time/timeout.rs
243	included	-	tests-integration/tests/process_stdio.rs
242	included	-	tokio-util/tests/panic.rs
242	included	-	tokio/src/sync/tests/loom_semaphore_batch.rs
240	included	-	tokio/src/runtime/driver/op.rs
240	included	-	tokio/src/runtime/scheduler/multi_thread/idle.rs
239	included	-	tokio-util/tests/spawn_pinned.rs
236	included	-	tokio-util/src/either.rs
236	included	-	tokio/src/io/stdout.rs
235	included	-	tokio/src/task/builder.rs
234	included	-	tokio/tests/tcp_socket.rs
233	included	-	tokio/tests/rt_metrics.rs
231	included	-	tokio/tests/sync_panic.rs
230	included	-	tokio-util/src/codec/lines_codec.rs
230	included	-	tokio/src/signal/reusable_box.rs
230	included	-	tokio/src/sync/rwlock/owned_write_guard_mapped.rs
230	included	-	tokio/tests/sync_semaphore.rs
228	included	-	tokio/tests/time_alt.rs
227	included	-	tokio/src/task/blocking.rs
224	included	-	examples/tinydb.rs
223	included	-	tokio-util/src/codec/framed_write.rs
223	included	-	tokio/src/loom/std/barrier.rs
223	included	-	tokio/src/time/instant.rs
222	included	-	tokio/src/io/stdio_common.rs
222	included	-	tokio/tests/io_panic.rs
218	included	-	tokio/src/io/bsd/poll_aio.rs
217	included	-	tokio-util/src/codec/framed_read.rs
217	included	-	tokio-util/tests/io_write_all_vectored.rs
216	included	-	tokio/src/task/spawn.rs
213	included	-	tokio/src/sync/barrier.rs
213	included	-	tokio/src/sync/rwlock/write_guard_mapped.rs
213	included	-	tokio/src/sync/tests/loom_oneshot.rs
212	included	-	tokio-util/tests/framed_write.rs
211	included	-	tokio/src/runtime/context.rs
210	included	-	tokio/tests/io_async_fd_memory_leak.rs
208	included	-	tokio-stream/tests/stream_fused.rs
208	included	-	tokio/src/sync/rwlock/owned_read_guard.rs
207	included	-	tokio/src/io/util/buf_stream.rs
207	included	-	tokio/src/sync/tests/loom_broadcast.rs
205	included	-	tokio-util/tests/framed.rs
205	included	-	tokio/src/runtime/tests/loom_multi_thread/queue.rs
204	included	-	tokio/tests/dump.rs
202	included	-	tokio/tests/fs_uring_read.rs
199	included	-	tokio-util/src/context.rs
198	included	-	tokio-util/src/time/wheel/level.rs
198	included	-	tokio/src/runtime/task/error.rs
198	included	-	tokio/src/runtime/tests/loom_current_thread.rs
196	included	-	tokio/src/runtime/time_alt/wheel/level.rs
196	included	-	tokio/tests/time_rt.rs
195	included	-	tokio/src/loom/std/parking_lot.rs
194	included	-	tokio-util/tests/io_inspect.rs
194	included	-	tokio/tests/net_panic.rs
194	included	-	tokio/tests/task_hooks.rs
193	included	-	tokio/src/runtime/time/wheel/level.rs
191	included	-	tokio/src/sync/rwlock/read_guard.rs
191	included	-	tokio/src/util/trace.rs
189	included	-	tokio/src/fs/mocks.rs
186	included	-	tokio/tests/tracing_task.rs
185	included	-	tokio-util/src/sync/tests/loom_cancellation_token.rs
184	included	-	tokio-util/src/codec/decoder.rs
181	included	-	tokio/tests/sync_broadcast_weak.rs
180	included	-	tokio/tests/sync_set_once.rs
179	included	-	tokio-util/src/io/inspect.rs
179	included	-	tokio/src/runtime/scheduler/util/time_alt.rs
178	included	-	tokio/tests/sync_mutex.rs
172	included	-	tokio-test/tests/io.rs
171	included	-	tokio-util/src/sync/poll_semaphore.rs
171	included	-	tokio/tests/task_local.rs
170	included	-	tokio/tests/rt_local.rs
168	included	-	tokio/src/sync/mpsc/error.rs
168	included	-	tokio/tests/tcp_accept.rs
167	included	-	tokio-test/src/stream_mock.rs
166	included	-	tokio/src/io/split.rs
165	included	-	tokio-util/src/io/write_all_vectored.rs
165	included	-	tokio/tests/io_copy_bidirectional.rs
164	included	-	tokio/src/io/util/empty.rs
164	included	-	tokio/tests/sync_semaphore_owned.rs
163	included	-	benches/sync_rwlock.rs
161	included	-	examples/named-pipe-ready.rs
161	included	-	tokio/src/io/uring/statx.rs
159	included	-	tokio/src/util/sharded_list.rs
158	included	-	tokio/src/io/util/read_int.rs
157	included	-	tokio-util/src/sync/reusable_box.rs
157	included	-	tokio-util/src/task/abort_on_drop.rs
157	included	-	tokio/tests/fs_uring.rs
155	included	-	tokio/tests/time_panic.rs
151	included	-	tokio/src/fs/read_uring.rs
151	included	-	tokio/src/io/util/write_int.rs
151	included	-	tokio/tests/time_timeout.rs
150	included	-	tokio-util/tests/udp.rs
150	included	-	tokio/tests/fs_uring_statx_fd_leak_test.rs
149	included	-	tokio/src/runtime/io/registration_set.rs
149	included	-	tokio/tests/rt_unstable_eager_driver_handoff.rs
148	included	-	tokio/src/io/stderr.rs
147	included	-	benches/sync_semaphore.rs
146	included	-	tokio/src/io/util/chain.rs
146	included	-	tokio/src/sync/mpsc/mod.rs
145	included	-	tokio/src/io/util/lines.rs
145	included	-	tokio/tests/io_write_all_buf.rs
144	included	-	tokio/src/macros/pin.rs
143	included	-	tokio-util/src/util/poll_buf.rs
143	included	-	tokio/src/io/util/read_to_end.rs
143	included	-	tokio/src/runtime/signal/mod.rs
142	included	-	tokio/src/io/util/vec_with_initialized.rs
142	included	-	tokio/tests/rt_common_before_park.rs
140	included	-	tokio/src/runtime/tests/loom_blocking.rs
139	included	-	tokio/src/runtime/scheduler/multi_thread/handle.rs
138	included	-	tokio/src/io/util/take.rs
138	included	-	tokio/src/runtime/scheduler/multi_thread/stats.rs
137	included	-	tokio-util/src/future.rs
137	included	-	tokio/src/io/util/copy_bidirectional.rs
137	included	-	tokio/tests/sync_mutex_owned.rs
135	included	-	tokio/src/io/async_read.rs
134	included	-	tokio-util/src/io/sink_writer.rs
134	included	-	tokio/tests/fs_uring_completed_then_dropped_before_repoll.rs
132	included	-	tokio-stream/src/wrappers/watch.rs
131	included	-	tokio/tests/tcp_into_split.rs
130	included	-	tokio/src/io/join.rs
129	included	-	tokio/src/fs/dir_builder.rs
129	included	-	tokio/src/runtime/time_alt/timer.rs
128	included	-	tokio/src/fs/open_options/uring_open_options.rs
128	included	-	tokio/tests/rt_poll_callbacks.rs
126	included	-	tokio/src/runtime/task/trace/tree.rs
126	included	-	tokio/tests/fs_dir.rs
125	included	-	tokio/tests/io_read_to_end.rs
125	included	-	tokio/tests/rt_handle.rs
124	included	-	tokio/src/loom/std/mod.rs
124	included	-	tokio/src/runtime/task/waker.rs
124	included	-	tokio/tests/macros_test.rs
123	included	-	tokio-stream/tests/stream_peekable.rs
123	included	-	tokio-util/src/io/reader_stream.rs
123	included	-	tokio/src/future/maybe_done.rs
123	included	-	tokio/src/time/error.rs
123	included	-	tokio/tests/task_panic.rs
122	included	-	tokio-stream/src/wrappers/signal_windows.rs
122	included	-	tokio/src/runtime/metrics/worker.rs
122	included	-	tokio/src/runtime/scheduler/inject/rt_multi_thread.rs
121	included	-	tokio/src/io/async_buf_read.rs
121	included	-	tokio/src/io/util/split.rs
121	included	-	tokio/src/runtime/context/blocking.rs
121	included	-	tokio/src/runtime/scheduler/inject/shared.rs
121	included	-	tokio/src/sync/tests/notify.rs
121	included	-	tokio/tests/io_mem_stream.rs
121	included	-	tokio/tests/uds_socket.rs
120	included	-	examples/graceful-shutdown.rs
119	included	-	tokio/src/io/util/read_line.rs
117	included	-	tokio-stream/src/lib.rs
117	included	-	tokio/src/io/util/copy_buf.rs
116	included	-	tokio/tests/fs_link.rs
114	included	-	tokio/src/io/uring/read.rs
114	included	-	tokio/tests/io_split.rs
114	included	-	tokio/tests/rt_panic.rs
113	included	-	tokio/src/sync/tests/atomic_waker.rs
113	included	-	tokio/src/util/rand.rs
112	included	-	benches/fs.rs
112	included	-	tokio/src/io/util/mod.rs
112	included	-	tokio/tests/io_write_buf.rs
110	included	-	tokio-stream/tests/async_send_sync.rs
110	included	-	tokio-stream/tests/stream_chain.rs
110	included	-	tokio/src/sync/tests/loom_watch.rs
110	included	-	tokio/src/time/mod.rs
110	included	-	tokio/src/util/mod.rs
109	included	-	benches/time_timeout.rs
109	included	-	tokio-macros/src/select.rs
109	included	-	tokio-stream/tests/mpsc_bounded_stream.rs
109	included	-	tokio-stream/tests/stream_timeout.rs
108	included	-	tokio/src/runtime/scheduler/multi_thread/mod.rs
107	included	-	tokio-stream/src/stream_ext/timeout.rs
107	included	-	tokio-stream/src/wrappers/mpsc_bounded.rs
